fold,model,phase,stability,auc,mean_gini,average_precision,brier,log_loss,rows
1,blend_hist_10,selection,0.4740709037435813,0.8491291390917959,0.697805271164721,0.18538683884049875,0.02953783122721639,0.11747952230738243,182576
1,blend_hist_25,selection,0.4755683339759406,0.8493692956703875,0.6982821012042626,0.185771781128444,0.02952828173247943,0.11741151242737453,182576
1,blend_hist_50,selection,0.47599394691565844,0.8495525713006207,0.6986247487526791,0.1859651121039778,0.029520173652925696,0.11735313879967325,182576
1,hist_augmented,selection,0.4733538495389342,0.8491113204601539,0.6976708635587361,0.18501180593329283,0.029533236537597707,0.11743886030282723,182576
1,saved_champion,selection,0.47251354626599695,0.8489126107408997,0.6973919400456406,0.18501703317866647,0.029546149493292997,0.1175390632768173,182576
1,tuned_control,selection,0.4791999815329482,0.8488706821464047,0.6973015030335274,0.18457405335334023,0.02955439036693164,0.11758036591122703,182576
2,blend_hist_10,selection,0.6713316769188893,0.84232654892987,0.6818470142982967,0.19270523584438035,0.03240334852726914,0.1272316819238683,194116
2,blend_hist_25,selection,0.6720349631029242,0.8426492751236191,0.6825057688412061,0.19340143321039005,0.032387766952671454,0.12714490019957198,194116
2,blend_hist_50,selection,0.6727380493737595,0.8429572107670921,0.6831392750423186,0.19406604117428558,0.03237378164026117,0.12706583439564417,194116
2,hist_augmented,selection,0.6723505685359803,0.8427193547993476,0.6827156537418546,0.19379339387407607,0.03239075093513747,0.1271521318808214,194116
2,saved_champion,selection,0.6707234242709308,0.8420515523465267,0.6812759086398839,0.19217876926282906,0.03241673223831405,0.12730638138995326,194116
2,tuned_control,selection,0.6703302157872717,0.8418459396589371,0.6808653806173963,0.19164491319294663,0.03242969493076195,0.12736229366848115,194116
3,blend_hist_10,selection,0.4965528131643139,0.8528381086189125,0.702570206529735,0.20946570995729288,0.032358225269838226,0.12576653985872768,192561
3,blend_hist_25,selection,0.5022153089598331,0.8531082220244571,0.7031067397850034,0.20994214513511442,0.03234779195860522,0.1256977579780535,192561
3,blend_hist_50,selection,0.5101151989631787,0.8533178093519238,0.7035345643763479,0.210054433028721,0.03234192109941138,0.12565047282181124,192561
3,hist_augmented,selection,0.5159453189516151,0.8528038639465347,0.7025165134535666,0.20854614190543017,0.03237337185425315,0.1258111213051915,192561
3,saved_champion,selection,0.4915662227354771,0.8525893853803741,0.7020513441364976,0.209091651396286,0.03236806030887553,0.1258295797841488,192561
3,tuned_control,selection,0.48735437726792474,0.8524783272551817,0.701810109922928,0.20851052642874943,0.03237993564630627,0.12587256069813527,192561
4,blend_hist_10,confirmation,0.688889887864565,0.8503908073523881,0.6994813690807,0.25464648498667275,0.03912885237042656,0.14740633882904103,126970
4,blend_hist_25,confirmation,0.6903172481467744,0.8506050356548138,0.6999142888175123,0.25510400509620373,0.03911214309096103,0.1473270733560214,126970
4,blend_hist_50,confirmation,0.6904629247594871,0.850706660270151,0.7001096527125974,0.2552977004813969,0.039103733268622695,0.14727916549691175,126970
4,hist_augmented,confirmation,0.6888025682308525,0.8499164246000332,0.6984935559022172,0.253438205577756,0.03915980978683684,0.1475095384371194,126970
4,saved_champion,confirmation,0.6856799718448874,0.850183680371473,0.6990590126467491,0.254262876343701,0.03914485163426297,0.14748031388571858,126970
4,tuned_control,confirmation,0.6803129669190214,0.8499812732222399,0.6986355568984928,0.25374937486132276,0.03915812240819456,0.14751867711693645,126970
5,blend_hist_10,confirmation,0.6891237517202137,0.8646593148220761,0.7146361857412444,0.17442085050684536,0.020150996559067963,0.08478424498873638,30964
5,blend_hist_25,confirmation,0.6891861133245836,0.8647746999737889,0.7150823398958924,0.17565689324534883,0.020137385611655657,0.08474575039829967,30964
5,blend_hist_50,confirmation,0.688681301197147,0.8647523887113521,0.7149971319399263,0.17707627974802911,0.02012188503251201,0.084717316650979,30964
5,hist_augmented,confirmation,0.6861016851839318,0.8640362066410513,0.7140248275433603,0.17912566412774786,0.02011782512376299,0.08479216290781734,30964
5,saved_champion,confirmation,0.689011286354743,0.8645246436638496,0.7143995314179659,0.17346534774049477,0.020161866607312055,0.0848190977737237,30964
5,tuned_control,confirmation,0.6889917082171785,0.8644155453721029,0.714110254325421,0.17196507191724142,0.020171589168708766,0.0848651430150801,30964
